variables,runtime
39185,2.746172
39185,3.093859
39185,3.003787
39185,3.191633
39185,2.383796
39185,2.525711
39185,2.378524
39185,2.552587
39185,2.484786
39185,2.505159
8758,0.401233
8758,0.339332
8758,0.356573
8758,0.406479
8758,0.353795
8758,0.382125
8758,0.310767
8758,0.477029
8758,0.554118
8758,0.302308
8758,0.495815
8758,0.432851
8758,0.437061
8758,0.343212
8758,0.428466
8758,0.331492
8758,0.450144
8758,0.410862
8758,0.325976
8758,0.327896
8758,0.324123
8758,0.326480
8758,0.312849
8758,0.441631
8758,0.566608
8758,0.395760
8758,0.480125
8758,0.457465
8758,0.476098
8758,0.471309
38905,4.140570
38905,3.256447
38905,2.940319
38905,3.447490
38905,2.789039
38905,3.998098
38905,2.958765
38905,4.083424
38905,2.973992
38905,2.912611
38905,3.094284
38905,2.785497
38905,2.917169
38905,3.289553
38905,4.323511
38905,2.838395
38905,3.131668
38905,3.258162
38905,2.978940
38905,3.946804
38905,3.284149
38905,3.810360
38905,3.193064
38905,4.399115
38905,3.011392
38905,3.079315
38905,2.960327
38905,2.839517
38905,3.037670
38905,3.489617
11661,0.788400
11661,0.527268
11661,0.812375
11661,0.544029
11661,0.518474
11661,0.703741
11661,0.476278
11661,0.496000
11661,0.606468
11661,0.541986
11661,0.470983
11661,0.468649
11661,0.471630
11661,0.483264
11661,0.469899
11661,0.599280
11661,0.445644
11661,0.579716
11661,0.458099
11661,0.463606
11661,0.460431
11661,0.675130
11661,0.511856
11661,0.478622
11661,0.514843
11661,0.487147
11661,0.495615
11661,0.612339
11661,0.782604
11661,0.493681
37950,2.651046
37950,2.746839
37950,3.213730
37950,2.557250
37950,2.424511
37950,2.472778
37950,2.547227
37950,3.009318
37950,3.140256
37950,2.640411
37950,3.211652
37950,3.384602
37950,2.744421
37950,2.759621
37950,2.901825
37950,2.667781
37950,2.712331
37950,2.727170
37950,2.799907
37950,3.074678
37950,2.795972
37950,3.075731
37950,2.946792
37950,3.042469
37950,3.262991
37950,2.539741
37950,2.939287
37950,2.655260
37950,2.913763
37950,3.337022
11322,0.556268
11322,0.739053
11322,0.566842
11322,0.607147
11322,0.598131
11322,0.625531
11322,0.642991
11322,0.831933
11322,0.633343
11322,0.676709
11322,0.603026
11322,0.679937
11322,0.547660
11322,0.519748
11322,0.554720
11322,0.573350
11322,0.629767
11322,0.596559
11322,0.557174
11322,0.611630
11322,0.632827
11322,0.602830
11322,0.620249
11322,0.637299
11322,0.589155
11322,0.619039
11322,0.597529
11322,0.598734
11322,0.578521
11322,0.620849
39002,4.036956
39002,4.117296
39002,3.818464
39002,3.244644
39002,3.066353
39002,4.347133
39002,2.814910
39002,3.226285
39002,3.041362
39002,2.885049
39002,2.953171
39002,3.483769
39002,2.764427
39002,2.810920
39002,2.830442
39002,2.656894
39002,2.791397
39002,2.774451
39002,3.133684
39002,4.337019
39002,3.611804
39002,4.454464
39002,3.603821
39002,3.665776
39002,3.138550
39002,3.047549
39002,3.148785
39002,3.795833
39002,3.157777
39002,2.907744
22336,1.671428
22336,1.865812
22336,1.380162
22336,1.433999
22336,1.801325
22336,1.840708
22336,1.261739
22336,1.349432
22336,1.308782
22336,1.600763
22336,1.396054
22336,1.305800
22336,1.317964
22336,1.297944
22336,1.626698
22336,1.266130
22336,1.555759
22336,1.208966
22336,1.238632
22336,1.204718
22336,1.200014
22336,1.192782
22336,1.450255
22336,1.150017
22336,1.475799
22336,1.241644
22336,1.095111
22336,1.545430
22336,1.071363
22336,1.203380
65780,6.670538
65780,7.685029
65780,7.121223
65780,6.755298
65780,6.254833
65780,6.557499
65780,8.239236
65780,6.851297
65780,6.283689
65780,6.109563
65780,6.110465
65780,7.996204
65780,6.097038
65780,6.022396
65780,7.183324
65780,7.370315
65780,6.015944
65780,6.259706
65780,6.163299
65780,6.446136
65780,6.158791
65780,6.207065
65780,7.286241
65780,7.605178
65780,7.438715
65780,6.620424
65780,7.176983
65780,6.711226
65780,6.457736
65780,7.805178
4496,0.189144
4496,0.203564
4496,0.239221
4496,0.161681
4496,0.146240
4496,0.196856
4496,0.247829
4496,0.156907
4496,0.126474
4496,0.173440
4496,0.157515
4496,0.188547
4496,0.141230
4496,0.184098
4496,0.146679
4496,0.135912
4496,0.212844
4496,0.144518
4496,0.200161
4496,0.137667
4496,0.201020
4496,0.143905
4496,0.141972
4496,0.186660
4496,0.161318
4496,0.158489
4496,0.171412
4496,0.197503
4496,0.150472
4496,0.210656
25730,1.343361
25730,1.493072
25730,1.548100
25730,1.404013
25730,1.601826
25730,1.276168
25730,1.281387
25730,1.266354
25730,1.261878
25730,1.513860
25730,1.541686
25730,1.208662
25730,1.159263
25730,1.186070
25730,1.199612
25730,1.236121
25730,1.613395
25730,1.571371
25730,1.196979
25730,1.172391
25730,1.256886
25730,1.562833
25730,1.205493
25730,1.197959
25730,1.215966
25730,1.208218
25730,1.204774
25730,1.252121
25730,1.167429
25730,1.449142
4442,0.083712
4442,0.102132
4442,0.083190
4442,0.104616
4442,0.097579
